Species,longitude,latitude
Helianthus angustifolius,-91.17,31.37
Helianthus angustifolius,-86.39,31.65
Helianthus angustifolius,-86,31.75
Helianthus angustifolius,-88.64,30.41
Helianthus angustifolius,-83,29.85
Helianthus angustifolius,-86.54,32.31
Helianthus angustifolius,-78.87,35.8
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-82.29,28.59
Helianthus angustifolius,-92.05,32.6
Helianthus angustifolius,-86.68,33.79
Helianthus angustifolius,-87.35,33.22
Helianthus angustifolius,-93.81,31.14
Helianthus angustifolius,-90.11,30.49
Helianthus angustifolius,-92.19,32.64
Helianthus angustifolius,-88.68,30.52
Helianthus angustifolius,-88.63,30.38
Helianthus angustifolius,-86.79,33.39
Helianthus angustifolius,-86.69,33.56
Helianthus angustifolius,-92.34,30.46
Helianthus angustifolius,-88.94,31.46
Helianthus angustifolius,-87.63,30.34
Helianthus angustifolius,-95.06,30.33
Helianthus angustifolius,-94.95,30.31
Helianthus angustifolius,-94.97,30.36
Helianthus angustifolius,-94.97,30.39
Helianthus angustifolius,-88.08,30.25
Helianthus angustifolius,-81.19,28.6
Helianthus angustifolius,-95.4,29.73
Helianthus angustifolius,-95.31,29.98
Helianthus angustifolius,-88.83,33.38
Helianthus angustifolius,-95.31,29.96
Helianthus angustifolius,-86.41,32.22
Helianthus angustifolius,-88.65,30.45
Helianthus angustifolius,-84.81,34.27
Helianthus angustifolius,-81.31,27.83
Helianthus angustifolius,-81.72,28.38
Helianthus angustifolius,-95.45,29.67
Helianthus angustifolius,-95.57,29.83
Helianthus angustifolius,-95.57,29.81
Helianthus angustifolius,-95.45,29.68
Helianthus angustifolius,-94.11,32.63
Helianthus angustifolius,-95.05,29.7
Helianthus angustifolius,-95.76,29.66
Helianthus angustifolius,-94.17,32.67
Helianthus angustifolius,-77.79,34.45
Helianthus angustifolius,-89.17,31.02
Helianthus angustifolius,-88.09,30.25
Helianthus angustifolius,-88.84,30.56
Helianthus angustifolius,-88.14,30.38
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-82.84,34.68
Helianthus angustifolius,-80.68,28.06
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.22,29.44
Helianthus angustifolius,-95.45,29.68
Helianthus angustifolius,-94.77,29.53
Helianthus angustifolius,-94.95,29.79
Helianthus angustifolius,-93.83,30.63
Helianthus angustifolius,-95.89,31.93
Helianthus angustifolius,-93.83,30.63
Helianthus angustifolius,-95.45,29.77
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-92.25,34.59
Helianthus angustifolius,-94.15,31.06
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.8,30.03
Helianthus angustifolius,-94.02,30.84
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-94.69,31.44
Helianthus angustifolius,-93,31.47
Helianthus angustifolius,-95.8,30.03
Helianthus angustifolius,-95.6,29.9
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.61,29.92
Helianthus angustifolius,-95.92,29.93
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-85.35,31.92
Helianthus angustifolius,-94.41,30.55
Helianthus angustifolius,-95.45,29.66
Helianthus angustifolius,-95.43,29.69
Helianthus angustifolius,-93.15,30.26
Helianthus angustifolius,-88.66,30.45
Helianthus angustifolius,-86.7,33.69
Helianthus angustifolius,-95.37,30.93
Helianthus angustifolius,-85.61,34.4
Helianthus angustifolius,-95.27,29.71
Helianthus angustifolius,-82.44,27.2
Helianthus angustifolius,-95.45,29.67
Helianthus angustifolius,-94.12,32.68
Helianthus angustifolius,-82.59,28.8
Helianthus angustifolius,-93.21,30.66
Helianthus angustifolius,-85.61,34.4
Helianthus angustifolius,-87.64,30.3
Helianthus angustifolius,-89.5,37.05
Helianthus angustifolius,-89.73,35.03
Helianthus angustifolius,-95.8,29.52
Helianthus angustifolius,-82.66,27.74
Helianthus angustifolius,-88.63,30.38
Helianthus angustifolius,-73.88,40.86
Helianthus angustifolius,-81.7,26.65
Helianthus angustifolius,-94.77,29.53
Helianthus angustifolius,-95.7,29.88
Helianthus angustifolius,-94.39,30.58
Helianthus angustifolius,-95.41,29.97
Helianthus angustifolius,-95.52,29.96
Helianthus angustifolius,-94.42,30.55
Helianthus angustifolius,-95.61,29.92
Helianthus angustifolius,-95.61,29.92
Helianthus angustifolius,-95.6,29.25
Helianthus angustifolius,-95.61,29.92
Helianthus angustifolius,-95.81,30.03
Helianthus angustifolius,-95.8,30.03
Helianthus angustifolius,-95.8,30.03
Helianthus angustifolius,-95.93,29.95
Helianthus angustifolius,-95.79,30.04
Helianthus angustifolius,-76.86,36.81
Helianthus angustifolius,-95.62,29.92
Helianthus angustifolius,-94.28,34.56
Helianthus angustifolius,-92.45,34.77
Helianthus angustifolius,-95.39,29.72
Helianthus angustifolius,-84.87,33
Helianthus angustifolius,-95.45,29.76
Helianthus angustifolius,-94.28,31.08
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-94.41,30.55
Helianthus angustifolius,-94.32,30.38
Helianthus angustifolius,-94.42,31.17
Helianthus angustifolius,-94.27,30.35
Helianthus angustifolius,-94.18,30.35
Helianthus angustifolius,-94.47,30.41
Helianthus angustifolius,-94.39,30.46
Helianthus angustifolius,-94.42,30.55
Helianthus angustifolius,-94.02,30.81
Helianthus angustifolius,-94.39,30.46
Helianthus angustifolius,-94.36,30.47
Helianthus angustifolius,-94.01,30.82
Helianthus angustifolius,-94.41,30.55
Helianthus angustifolius,-79.97,35.4
Helianthus angustifolius,-94.15,30.72
Helianthus angustifolius,-78.99,35.84
Helianthus angustifolius,-89.95,30.52
Helianthus angustifolius,-95.39,29.76
Helianthus angustifolius,-95.45,29.67
Helianthus angustifolius,-94.55,29.66
Helianthus angustifolius,-94.15,30.72
Helianthus angustifolius,-94.41,30.55
Helianthus angustifolius,-93.37,34.39
Helianthus angustifolius,-82.41,28.12
Helianthus angustifolius,-82.66,28.12
Helianthus angustifolius,-95.6,29.25
Helianthus angustifolius,-95.4,30.04
Helianthus angustifolius,-84.22,37.56
Helianthus angustifolius,-91.11,30.41
Helianthus angustifolius,-80.3,32.68
Helianthus angustifolius,-95.21,29.93
Helianthus angustifolius,-94.95,29.79
Helianthus angustifolius,-95.33,29.89
Helianthus angustifolius,-80.49,32.82
Helianthus angustifolius,-88.65,30.45
Helianthus angustifolius,-82.24,27.59
Helianthus angustifolius,-93.06,30.45
Helianthus angustifolius,-93.06,30.45
Helianthus angustifolius,-93.32,35.51
Helianthus angustifolius,-92.05,32.61
Helianthus angustifolius,-89.5,37.09
Helianthus angustifolius,-94.16,30.25
Helianthus angustifolius,-92.85,32.65
Helianthus angustifolius,-94.77,29.53
Helianthus angustifolius,-82.11,29.45
Helianthus angustifolius,-94.02,30.81
Helianthus angustifolius,-88.69,30.42
Helianthus angustifolius,-79.99,32.78
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-95.02,29.65
Helianthus angustifolius,-80.55,27.77
Helianthus angustifolius,-94.02,30.81
Helianthus angustifolius,-75.06,38.57
Helianthus angustifolius,-90.75,30.52
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-80.99,28.5
Helianthus angustifolius,-81.33,28.34
Helianthus angustifolius,-94.49,30.98
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-84.47,37.53
Helianthus angustifolius,-94.17,32.67
Helianthus angustifolius,-94.14,30.05
Helianthus angustifolius,-92.5,34.84
Helianthus angustifolius,-81.16,28.78
Helianthus angustifolius,-89.14,30.41
Helianthus angustifolius,-82.16,27.35
Helianthus angustifolius,-92.36,34.73
Helianthus angustifolius,-92.48,34.84
Helianthus angustifolius,-81.87,26.96
Helianthus angustifolius,-82.6,29.97
Helianthus angustifolius,-82.82,30.24
Helianthus angustifolius,-75.4,39.58
Helianthus angustifolius,-89.41,30.32
Helianthus angustifolius,-89.21,30.52
Helianthus angustifolius,-89.92,30.93
Helianthus angustifolius,-84.7,30.39
Helianthus angustifolius,-77.65,34.58
Helianthus angustifolius,-77.65,34.58
Helianthus angustifolius,-88.14,35.69
Helianthus angustifolius,-93.21,32.54
Helianthus angustifolius,-93.16,31.95
Helianthus angustifolius,-88.11,30.25
Helianthus angustifolius,-86.88,30.42
Helianthus angustifolius,-81.32,28.34
Helianthus angustifolius,-75.06,38.55
Helianthus angustifolius,-90.17,30.53
Helianthus angustifolius,-77,34.76
Helianthus angustifolius,-76.98,34.96
Helianthus angustifolius,-81.98,27
Helianthus angustifolius,-76.98,34.96
Helianthus angustifolius,-77,34.76
Helianthus angustifolius,-77.65,34.58
Helianthus angustifolius,-80.88,35.4
Helianthus angustifolius,-82.04,28.29
Helianthus angustifolius,-92.55,29.88
Helianthus angustifolius,-82.19,27.38
Helianthus angustifolius,-89.5,37.09
Helianthus angustifolius,-82.2,29.97
Helianthus angustifolius,-85.25,30.14
Helianthus angustifolius,-82.2,29.97
Helianthus angustifolius,-82.2,29.97
Helianthus angustifolius,-94.15,30.5
Helianthus angustifolius,-86.24,33.81
Helianthus angustifolius,-75.44,38.36
Helianthus angustifolius,-81.71,26.71
Helianthus angustifolius,-81.78,26.77
Helianthus angustifolius,-88.22,32.55
Helianthus angustifolius,-85.11,30.43
Helianthus angustifolius,-81.48,27.83
Helianthus angustifolius,-81.65,30.53
Helianthus angustifolius,-95.87,31.57
Helianthus angustifolius,-90.33,30.5
Helianthus angustifolius,-90.33,30.5
Helianthus angustifolius,-86.8,36.15
Helianthus angustifolius,-90.66,36.67
Helianthus angustifolius,-94.18,32.69
Helianthus angustifolius,-86.09,31.99
Helianthus angustifolius,-85.96,31.8
Helianthus angustifolius,-86.09,31.99
Helianthus angustifolius,-90.41,30.84
Helianthus angustifolius,-90.41,30.84
Helianthus angustifolius,-82.72,29.37
Helianthus angustifolius,-86.48,31.69
Helianthus angustifolius,-86.48,31.69
Helianthus angustifolius,-84.85,33.76
Helianthus angustifolius,-82.47,28.54
Helianthus angustifolius,-92.93,31
Helianthus angustifolius,-92.59,31
Helianthus angustifolius,-80.54,26.99
Helianthus angustifolius,-84.44,30.88
Helianthus angustifolius,-84.09,31.33
Helianthus angustifolius,-80.54,26.99
Helianthus angustifolius,-87.61,30.35
Helianthus angustifolius,-93.05,32.13
Helianthus angustifolius,-92.95,32.08
Helianthus angustifolius,-90.47,30.68
Helianthus angustifolius,-90.47,30.68
Helianthus angustifolius,-84.23,30.87
Helianthus angustifolius,-80.25,27.1
Helianthus angustifolius,-83.04,30.58
Helianthus angustifolius,-81.24,31.48
Helianthus angustifolius,-86,34.77
Helianthus angustifolius,-92.25,46.08
Helianthus angustifolius,-92.25,46.08
Helianthus angustifolius,-94.08,46.47
Helianthus angustifolius,-90.81,31.07
Helianthus angustifolius,-90.81,31.08
Helianthus angustifolius,-86.45,31.27
Helianthus angustifolius,-77.03,34.95
Helianthus angustifolius,-90.77,31.19
Helianthus angustifolius,-90.63,31.05
Helianthus angustifolius,-86.65,33.96
Helianthus angustifolius,-85.5,33.64
Helianthus angustifolius,-86.97,32.66
Helianthus angustifolius,-90.67,36.67
Helianthus angustifolius,-90.29,36.86
Helianthus angustifolius,-87.47,33.02
Helianthus angustifolius,-87.09,32.69
Helianthus angustifolius,-87.44,32.88
Helianthus angustifolius,-87.44,32.88
Helianthus angustifolius,-76.95,34.93
Helianthus angustifolius,-84.2,30.15
Helianthus angustifolius,-84.2,30.15
Helianthus angustifolius,-90.62,36.66
Helianthus angustifolius,-87.42,32.99
Helianthus angustifolius,-89.51,37.09
